firstname,alt_firstname,lastname,teams,statut,status,webpage,HAL,start_date,end_date,member,photo,perm,fid,researcheridId_s,idrefId_s,orcidId_s,viafId_s,isniId_s,google scholarId_s,arxivId_s
Gérald,,Choqueux,GEOVIS,Ingénieur,Research engineer,/gchoqueux,gerald-choqueux,2022-11-01,,true,/gchoqueux/img/gchoqueux_256.png,true,29,,,,,,,
Sidonie,,Christophe,GEOVIS,DR2 MTE,Senior researcher,/sidonie-christophe,sidonie-christophe,2006-09-01,,true,/sidonie-christophe/img/sido.png,true,30,,https://www.idref.fr/146378644,https://orcid.org/0000-0002-2980-2803,,,,
Emmanuel,,Clédat,ACTE,Enseignant Chercheur,Lecturer,/Emmanuel-Cledat,emmanuel-cledat,2020-09,,true,,true,31,,,,,,,
Maxime,,Colomb,STRUDEL,Doctorant,PhD student,http://maxime-colomb.eu/,maxime-colomb,2015-10-01,2019-09-27,false,/lastig_data/img/colomb.jpg,false,32,,https://www.idref.fr/24319885X,https://orcid.org/0000-0002-1217-4476,,,,
Benoît,,Costes,STRUDEL,Chercheur,Researcher,,,2010-10-01,2019-07-14,false,/lastig_data/img/costes.jpg,true,33,,,,,,,
Azelle,,Courtial,MEIG,Post-doc,Post-doc,/azelle-courtial,azelle-courtial,2019-10-01,,true,/azelle-courtial/img/AzelleCourtialCarr%C3%A9e.jpg,false,34,,,https://orcid.org/0000-0002-0416-3398,,,,
Daniela,,Craciun,STRUDEL,Post-doc,Post-doc,/daniela-craciun,daniela-craciun,2020-11-23,2022-10-09,false,,false,35,,,,,,,
Martin,,Cubaud,STRUDEL,Doctorant,PhD student,/martin-cubaud,martin-cubaud,2022-09-15,,true,/martin-cubaud/img/m2.png,true,36,,,https://orcid.org/0009-0007-3751-1946,,,,
Rémi,,Cura,STRUDEL,Doctorant,PhD student,http://remi.cura.info/,,2013-04-01,2016-09-30,false,https://avatars2.githubusercontent.com/u/4725794?v=3&s=400,false,37,,,,,,,
Mehdi,,Daakir,ACTE,CR MTE,Researcher,,,2023-09-01,,true,/lastig_data/user/mehdi-daakir.jpg,true,38,,,,,,,
John,,Dawson,MEIG,Doctorant,PhD student,,,2014-04-01,,true,/lastig_data/user/john-dawson.jpg,false,39,,,,,,,
Arthur,,Delorme,ACTE,Doctorant,PhD student,https://www.ipgp.fr/~delorme/,arthur-delorme,2022-09-01,,true,https://www.ipgp.fr/~delorme/images/photo.jpg,false,40,http://www.researcherid.com/rid/E-9954-2017,,https://orcid.org/0000-0002-7141-6148,,,,
Alexandre,,Devaux,GEOVIS,Ingénieur,Research engineer,/adevaux_homepage,alexandredevaux,2008-07-01,2020-12-31,false,/geovis/faces/devaux.jpg,true,41,,,https://orcid.org/0000-0002-0906-7864,,,,
Catherine,,Dominguès,MEIG,CR IGN,Senior researcher,/cdomingues_homepage,catherine-domingues,2005-01-01,,true,/cdomingues_homepage/img/Domingues2020.png,true,42,,https://www.idref.fr/119915057,https://orcid.org/0000-0002-0362-6805,,,,
Chuanming,,Dong,MEIG,Doctorant,PhD student,/chuanming-dong,chuanming-dong,2019-07-01,2023-11-07,false,,false,43,,,,,,,
Cécile,,Duchêne,MEIG,Enseignant Chercheur,Lecturer,/cecile-duchene,cecile-duchene,1997,,true,/cecile-duchene/img/cduchene3.png,true,44,,,https://orcid.org/0000-0001-9986-632X,,,,
